nombre_ciudad;pais;latitud;longitud;elevacion 
Washington;Estados Unidos;38,93485;-77,44728;89,5
Philadelphia;Estados Unidos;39,87326;-75,22681;2,1
Boston;Estados Unidos;42,36057;-71,00975;3,2
Detroit;Estados Unidos;42,23113;-83,33121;191,9
Chicago;Estados Unidos;41,96017;-87,93164;204,8
San Francisco;Estados Unidos;37,61962;-122,36562;3,2
Los Angeles;Estados Unidos;33,93816;-118,38660;29,7
Dallas;Estados Unidos;32,67816;-96,86771;200,4
Seattle;Estados Unidos;47,44467;-122,31442;112,5
New York;Estados Unidos;40,77898;-73,96925;42,7
