sensor_id;temperatura;velocidad_viento;precipitacion;direccion_viento;tiempo_lectura
USW00093738;3,95;1,1;0,0;210;2/11/2023
USW00093738;6,75;2,0;0,0;190;3/11/2023
USW00093738;10,35;0,7;0,0;190;4/11/2023
USW00093738;12,50;2,1;0,0;290;5/11/2023
USW00093738;11,40;2,1;0,0;150;6/11/2023
USW00093738;18,35;3,9;0,0;300;7/11/2023
USW00093738;13,05;2,9;0,0;350;8/11/2023
USW00093738;16,40;3,0;0,0;360;9/11/2023
USW00093738;7,50;1,7;6,6;320;10/11/2023
USW00093738;7,80;1,0;0,0;320;11/11/2023
USW00093738;5,35;1,8;0,0;50;12/11/2023
USW00093738;5,60;1,7;0,0;190;13/11/2023
USW00093738;8,10;3,0;0,0;320;14/11/2023
USW00093738;7,85;2,2;0,0;190;15/11/2023
USW00093738;11,10;1,1;0,0;190;16/11/2023
USW00093738;13,60;3,9;1,3;190;17/11/2023
USW00093738;9,45;4,0;0,8;320;18/11/2023
USW00093738;7,00;1,8;0,0;300;19/11/2023
USW00093738;4,50;1,6;0,0;30;20/11/2023
USW00093738;6,70;3,7;54,6;140;21/11/2023
USW00093738;10,55;4,5;0,0;310;22/11/2023
USW00093738;8,60;3,3;0,0;330;23/11/2023
USW00093738;7,20;3,8;0,0;350;24/11/2023
USW00093738;2,80;2,1;0,0;350;25/11/2023
USW00093738;3,40;1,1;0,0;200;26/11/2023
USW00093738;3,65;4,3;0,0;300;27/11/2023
USW00093738;0,90;5,8;0,0;290;28/11/2023
USW00093738;-0,75;2,7;0,0;190;29/11/2023
USW00093738;5,65;2,3;0,0;200;30/11/2023
USW00093738;5,30;2,2;3,0;180;1/12/2023
USW00093738;11,15;1,2;0,3;190;2/12/2023
USW00093738;10,80;1,5;14,2;300;3/12/2023
USW00093738;7,80;2,4;0,0;330;4/12/2023
USW00093738;6,15;2,5;0,0;320;5/12/2023
USW00093738;5,00;5,0;0,0;320;6/12/2023
USW00093738;3,40;3,0;0,0;190;7/12/2023
USW00093738;7,30;1,6;0,0;150;8/12/2023
USW00093738;6,15;1,0;0,0;180;9/12/2023
USW00093738;9,70;4,1;36,3;350;10/12/2023
USW00093738;3,35;5,5;8,6;300;11/12/2023
USW00093738;2,25;2,2;0,0;200;12/12/2023
USW00093738;3,95;2,2;0,0;300;13/12/2023
USW00093738;2,55;1,7;0,0;290;14/12/2023
USW00093738;5,90;1,3;0,0;300;15/12/2023
USW00093738;6,75;1,2;0,0;160;16/12/2023
USW00093738;7,50;2,6;48,5;360;17/12/2023
USW00093738;6,95;7,9;9,1;290;18/12/2023
USW00093738;1,70;6,6;0,0;310;19/12/2023
USW00093738;1,70;1,6;0,0;320;20/12/2023
USW00093738;1,45;1,0;0,0;330;21/12/2023
USW00093738;4,20;;0,0;;22/12/2023
USW00093738;4,20;1,8;0,0;130;23/12/2023
USW00093738;6,95;0,4;0,8;110;24/12/2023
USW00093738;8,05;0,5;0,0;150;25/12/2023
USW00093738;7,80;1,2;6,9;100;26/12/2023
USW00093738;10,80;2,8;18,0;110;27/12/2023
USW00093738;13,05;2,8;0,3;310;28/12/2023
USW00093738;6,95;2,8;0,0;330;29/12/2023
USW00093738;4,80;3,3;0,0;250;30/12/2023
USW00093738;6,15;2,5;0,0;310;31/12/2023
USW00093738;3,90;3,2;0,3;320;1/01/2024
USW00093738;3,60;4,8;0,0;290;2/01/2024
USW00093738;3,10;1,4;0,0;190;3/01/2024
USW00093738;3,35;4,3;0,0;310;4/01/2024
USW00093738;-0,50;1,7;0,0;340;5/01/2024
USW00093738;0,05;3,3;24,6;300;6/01/2024
USW00093738;4,80;3,8;0,0;300;7/01/2024
USW00093738;4,20;3,0;0,0;310;8/01/2024
USW00093738;9,15;5,5;44,7;140;9/01/2024
USW00093738;8,35;4,7;0,0;270;10/01/2024
USW00093738;5,05;2,7;0,0;210;11/01/2024
USW00093738;3,65;3,4;19,0;130;12/01/2024
USW00093738;3,65;4,9;3,3;290;13/01/2024
USW00093738;2,55;5,1;0,0;290;14/01/2024
USW00093738;-2,95;1,0;7,9;290;15/01/2024
USW00093738;-4,60;4,7;0,8;300;16/01/2024
USW00093738;-7,10;3,2;0,0;300;17/01/2024
USW00093738;-4,95;0,6;0,0;160;18/01/2024
USW00093738;-3,00;3,9;8,9;310;19/01/2024
USW00093738;-7,10;6,8;0,0;300;20/01/2024
USW00093738;-4,10;6,0;0,0;310;21/01/2024
USW00093738;-4,95;2,0;0,0;190;22/01/2024
USW00093738;1,15;0,6;0,0;140;23/01/2024
USW00093738;5,00;0,5;0,0;140;24/01/2024
USW00093738;13,30;2,5;3,6;200;25/01/2024
USW00093738;19,70;4,0;0,8;180;26/01/2024
USW00093738;10,55;1,7;5,1;90;27/01/2024
USW00093738;6,95;3,6;33,5;60;28/01/2024
USW00093738;5,55;6,1;0,0;340;29/01/2024
USW00093738;5,00;2,7;0,0;120;30/01/2024
USW00093738;2,25;1,0;0,0;60;31/01/2024
USW00093738;5,05;1,6;0,0;220;1/02/2024
USW00093738;7,50;4,3;0,0;350;2/02/2024
USW00093738;5,05;2,6;0,0;20;3/02/2024
USW00093738;4,50;1,0;0,0;20;4/02/2024
USW00093738;3,95;2,8;0,0;20;5/02/2024
USW00093738;2,30;3,2;0,0;350;6/02/2024
USW00093738;3,40;0,9;0,0;350;7/02/2024
USW00093738;6,15;2,3;0,0;200;8/02/2024
USW00093738;12,20;2,7;0,0;180;9/02/2024
USW00093738;13,60;2,1;0,0;210;10/02/2024
USW00093738;10,80;1,5;3,6;30;11/02/2024
USW00093738;8,05;1,9;3,8;100;12/02/2024
USW00093738;4,70;5,4;20,6;310;13/02/2024
USW00093738;2,85;3,8;0,0;320;14/02/2024
USW00093738;3,10;2,7;0,0;190;15/02/2024
USW00093738;6,65;4,7;0,0;310;16/02/2024
USW00093738;0,60;5,6;3,3;300;17/02/2024
USW00093738;2,00;3,4;0,0;220;18/02/2024
USW00093738;3,10;1,6;0,0;340;19/02/2024
USW00093738;2,55;1,6;0,0;110;20/02/2024
USW00093738;3,40;1,6;0,0;150;21/02/2024
USW00093738;5,30;3,0;1,0;340;22/02/2024
USW00093738;6,65;1,8;1,3;350;23/02/2024
USW00093738;5,00;4,1;0,0;310;24/02/2024
USW00093738;1,70;2,6;0,0;210;25/02/2024
USW00093738;10,60;2,6;0,0;150;26/02/2024
USW00093738;10,80;4,3;0,3;190;27/02/2024
USW00093738;11,10;8,1;3,0;300;28/02/2024
USW00093738;4,75;6,1;0,0;300;29/02/2024
USW00093738;3,95;2,9;2,3;150;1/03/2024
USW00093738;8,60;3,1;11,7;320;2/03/2024
USW00093738;10,80;1,1;0,0;210;3/03/2024
USW00093738;14,20;2,6;2,5;100;4/03/2024
USW00093738;11,90;3,0;14,0;360;5/03/2024
USW00093738;11,95;2,6;5,8;340;6/03/2024
USW00093738;13,05;3,6;0,5;10;7/03/2024
USW00093738;11,40;3,0;0,0;140;8/03/2024
USW00093738;8,05;3,4;25,1;330;9/03/2024
USW00093738;6,10;9,0;0,0;300;10/03/2024
USW00093738;8,05;7,3;0,0;310;11/03/2024
USW00093738;12,50;3,3;0,0;290;12/03/2024
USW00093738;13,30;0,7;0,0;230;13/03/2024
USW00093738;15,55;1,7;0,0;190;14/03/2024
USW00093738;17,75;4,4;0,3;330;15/03/2024
USW00093738;13,05;3,1;0,0;330;16/03/2024
USW00093738;15,55;4,3;0,0;350;17/03/2024
USW00093738;6,15;6,9;0,0;320;18/03/2024
USW00093738;6,40;5,1;0,0;300;19/03/2024
USW00093738;10,85;6,9;0,0;300;20/03/2024
USW00093738;5,05;4,1;0,0;290;21/03/2024
USW00093738;4,75;3,0;1,8;160;22/03/2024
USW00093738;6,70;6,4;25,7;310;23/03/2024
USW00093738;5,30;4,0;0,0;340;24/03/2024
USW00093738;6,45;1,9;0,0;120;25/03/2024
